Rank,Word,Is_Compound,Token_Count,Frequency_Score
852,kéo,False,1,5.39
853,luyện,False,1,5.39
854,lá,False,1,5.39
855,lĩnh,False,1,5.39
856,mong,False,1,5.39
857,món,False,1,5.39
858,mấy,False,1,5.39
859,ngon,False,1,5.39
860,quanh,False,1,5.39
861,sông,False,1,5.39
862,trúc,False,1,5.39
863,xuân,False,1,5.39
864,đầy,False,1,5.39
865,đừng,False,1,5.39
866,chung chung,True,2,5.39
867,coi,False,1,5.38
868,cười,False,1,5.38
869,hạnh,False,1,5.38
870,hỗ,False,1,5.38
871,khỏe,False,1,5.38
872,lương,False,1,5.38
873,mai,False,1,5.38
874,mềm,False,1,5.38
875,phú,False,1,5.38
876,thánh,False,1,5.38
877,tội,False,1,5.38
878,xây dựng,True,1,5.38
879,cụ,False,1,5.37
880,dành,False,1,5.37
881,hương,False,1,5.37
882,la,False,1,5.37
883,lẽ,False,1,5.37
884,lỗi,False,1,5.37
885,nhằm,False,1,5.37
886,suy,False,1,5.37
887,sẵn,False,1,5.37
888,tòa,False,1,5.37
889,tốc,False,1,5.37
890,điện thoại,True,1,5.37
891,nông dân,True,1,5.37
892,sân bay,True,1,5.37
893,tích cực,True,1,5.37
894,xe hơi,True,1,5.37
895,bắn,False,1,5.36
896,chứ,False,1,5.36
897,hy,False,1,5.36
898,hạt,False,1,5.36
899,nghi,False,1,5.36
900,ngành,False,1,5.36
901,nàng,False,1,5.36
902,nạn,False,1,5.36
903,thượng,False,1,5.36
904,trắng,False,1,5.36
905,đen,False,1,5.36
906,đốc,False,1,5.36
907,ổn,False,1,5.36
908,riêng tư,True,2,5.36
909,có lẽ,True,1,5.36
910,hầu,False,1,5.35
911,mạch,False,1,5.35
912,sợ,False,1,5.35
913,tộc,False,1,5.35
914,xuyên,False,1,5.35
915,xếp,False,1,5.35
916,luật sư,True,1,5.35
917,mặc dù,True,1,5.35
918,ngày mai,True,1,5.35
919,binh,False,1,5.34
920,bức,False,1,5.34
921,chồng,False,1,5.34
922,chứa,False,1,5.34
923,cậu,False,1,5.34
924,khóa,False,1,5.34
925,lửa,False,1,5.34
926,ma,False,1,5.34
927,song,False,1,5.34
928,suốt,False,1,5.34
929,tuyên,False,1,5.34
930,đem,False,1,5.34
931,đỏ,False,1,5.34
932,cạnh,False,1,5.33
933,cầm,False,1,5.33
934,dạy,False,1,5.33
935,gốc,False,1,5.33
936,hiệp,False,1,5.33
937,hôn,False,1,5.33
938,ngài,False,1,5.33
939,ngăn,False,1,5.33
940,sơ,False,1,5.33
941,tim,False,1,5.33
942,trao,False,1,5.33
943,âu,False,1,5.33
944,đài,False,1,5.33
945,trái cây,True,1,5.33
946,cha mẹ,True,1,5.33
947,cử,False,1,5.32
948,dữ,False,1,5.32
949,kẻ,False,1,5.32
950,ngờ,False,1,5.32
951,niệm,False,1,5.32
952,nối,False,1,5.32
953,phúc,False,1,5.32
954,quen,False,1,5.32
955,súng,False,1,5.32
956,thẳng,False,1,5.32
957,trạng,False,1,5.32
958,tín,False,1,5.32
959,tốc độ,True,1,5.32
960,tiêu cực,True,1,5.32
961,chấp nhận,True,1,5.32
962,băng,False,1,5.31
963,chiếu,False,1,5.31
964,cũ,False,1,5.31
965,cắt,False,1,5.31
966,cục,False,1,5.31
967,dây,False,1,5.31
968,kính,False,1,5.31
969,lạ,False,1,5.31
970,nặng,False,1,5.31
971,sắp,False,1,5.31
972,thậm,False,1,5.31
973,trách,False,1,5.31
974,món ăn,True,2,5.31
